Nom;Style;Lieu;Adresse;Tel;Mail;Sensei;Liens;Lat;Long;Federation;;;;;;;;
Dojo Étables;Shotokaï ;Étables;Salle communale Le village, 07 300 étables;06 08 06 82 60;;Pierre Savy, Gaetan Maisonnasse, Gil Serre;https://www.yamatokan.fr/dojo-etables/;45.1042534;4.7330567;Yamato Kan, FAMA, FEKAMT;;;;;;;;
Dojo Glun;Shotokaï ;Glun;Salle des fêtes de Glun, place de la Mairie, 07 300 Glun;06 08 06 82 60;gilserre@orange.fr;Gil Serre, Antoine Allemand;https://www.yamatokan.fr/dojo-glun/;45.017333984375;4.838316917419434;Yamato Kan, FAMA, FEKAMT;;;;;;;;
Dojo Saint Cyr;Shotokaï ;Saint-Cyr;Salle Polyvalente, rue des Muriers, 07 430 Saint Cyr;06 78 36 74 83;;Denis Rebatel;https://www.yamatokan.fr/dojo-saint-cyr/;45.25218963623047;4.73695182800293;Yamato Kan, FAMA, FEKAMT;;;;;;;;
Dojo Tain Tournon;Shotokaï ;Tournon-sur-Rhône;Gymnase Jeannie Longo, 49 rue de Chapotte, 07 300 Tournon sur Rhône;06 08 06 82 60;gilserre@orange.fr;Gil Serre;https://www.yamatokan.fr/dojo-tain-tournon/;45.059593200683594;4.8455491065979;Yamato Kan, FAMA, FEKAMT;;;;;;;;
Dojo Vocance et Villevocance;Shotokaï ;Villevocance;Salle des fêtes, Chemin des Prés Peloux, 07 690 Villevocance;06 74 88 07 66;;Marc Ville;https://www.yamatokan.fr/dojos-vocance-villevocance/;45.22690963745117;4.592486381530762;Yamato Kan, FAMA, FEKAMT;;;;;;;;
Embukai Karaté;Shotokaï ;Louans;Bâtiment des associations, 37 320 Louans;06 70 38 15 59;;Stéphane Cres, Thierry Menager;https://embukai.jimdofree.com;47.1841492;0.7466502;FFK;;;;;;;;
Karaté Bonnefoy Lapujade;Shotokaï ;Toulouse;26 route d'Albi, 31 200 Toulouse;05 61 62 52 25;;Claire Chollat 1er dan;Pas de site web;43.63444519042969;1.4635562896728516;FFK;;;;;;;;
Karaté Club Pascal – Shotokaï;Shotokaï ;Paris;Dojo 18 avenue Marc Sangnier, 75 014 Paris;06 80 05 13 19;luisdecarvalho@wanadoo.fr;Luis de Carvalho 4ème dan;http://vincent.dangvu.free.fr/Karate.htm;48.82583999633789;2.307887315750122;FFKAMA;;;;;;;;
Karaté club Saint-Nicolas de Port;Shotokaï, Shotokan;Saint-Nicolas de Port;Rue de la Charrue , 54 483 Saint-Nicolas-de-Port;06 86 80 52 75;seb.uhring@gmail.com;Jean-Paul Uhring 7ème dan, Sébastien Uhring 6ème dan;https://karateclub-sndp.jimdofree.com;48.6329263;6.3016817;FFK;;;;;;;;
Karaté do;Shotokaï ;St-Hilair du Bois-dojo du domino;Dojo du Domino, rue  du Stade, 49 310 St-Hilaire du Bois;07 80 08 79 56;ass.ama@orange.fr;André Bernard, 4ème dan;https://www.facebook.com/people/Ama-Mokuso/100014021268914/?locale=mk_MK&_rdr;47.1261901;-0.5477441;FFK;;;;;;;;
Karaté do Champigny;;Champigny;124 rue de Bernau, 94 500 Champigny;06 74 02 49 12;karate.champigny@gmail.com;Fernand Machado, Daniel Condat;http://www.karate-shotokai.fr/index.html;48.8173845;2.5147839;FFFAMA;;;;;;;;
Karaté do Shotokaï Valence – Aïkikan;Shotokaï ;Valence;Gymnase du Cosec, Avenue de la Comète, 26000 Valence;06 09 24 22 06;kevin.braillon@gmail.com;Kévin Braillon, Aziz Douaouria;;44.92904400;4.88345000;IKDS;;;;;;;;
Karaté MJC Lorraine;Shotokaï ;Nancy;Parc des sports, 3 rue de Gembloux, 54 500 Vandoeuvre-lès-Nancy;03 83 15 90 00;contact@mjclorraine.com;Alexandre Normand 4ème dan;http://www.mjclorraine.com/activites--karate-do-shotokai-128059-15.php#:~:text=Ecole%20de%20karaté%20sans%20compétition,l'énergie%20(Shin).;48.661629;6.1791612;FFKDA;;;;;;;;
AKS Gournay;Shotokaï ;Gournay-sur-Marne;Centre sportif Jean-Claude Bouttier, Allée Jacques Guillard, 93 460 Gournay-sur-Marne;07 67 67 27 26;webmaster.aksgournay@gmail.com;Jean-Michel Lallemand 5ème dan, Lambert Ducoutumany 4ème dan, Stéphane Chauvel 2ème dan, Julie Bernardo 1er kyu;https://www.facebook.com/aksgournay;48.8620571;2.5777048;FFKDA, FEKAMT;;;;;;;;
Karaté do Shotokaï Malansac;Shotokaï ;Malansac;Salle Omnisports, 5 rue Beau Soleil, 56 220 Malansac;06 64 10 91 71;info.ecolekarate@gmail.com;Bruno Courty, Patrick Bonnefoy;https://www.facebook.com/KarateShotokaiMalansac;47.6756845;-2.2978762;FIAMT;;;;;;;;
Karaté Shotokaï Nancy;Shotokaï, ;Nancy;Gymnase Chopin, 45 rue Émile Bertin, 54 000 Nancy;03 83 23 24 17;claude.cambier@wanadoo.fr;Claude Cambier;;48.6799241;6.1628176;IKDS;;;;;;;;
Karaté-do Shotokaï Chouzy sur Cisse;Shotokaï ;Chouzy-sur-Cisse;Salle des fêtes, 14 place de la mairie, 41 150 Chouzy-sur-Cisse;06 19 69 93 67;;Claude Gal;http://karate.shotokai.free.fr/index.html;47.5420055;1.2350098;KDSE;;;;;;;;
Karaté-do Shotokaï Langonnais;Shotokaï ;Langon;Complexe sportif Garros, avenue des Résistants, 33 210 Langon;06 74 48 31 87;laurent@karatelangon.fr;Laurent Saba;https://karatelangon.fr;44.5477416;-0.2523481;FFK;;;;;;;;
Karaté Club Appaméen;Shotokaï ;Pamiers;Gymnase Bayle, Avenue de la Rijole, 09100 Pamiers, France;06 23 55 55 11;kca.shotokai@gmail.com;Michel Breonce 3ème dan, Franck Navarro 2ème dan, Fabrice Carbonneau 2ème dan;https://kca-shotokai.blogspot.com;43.1276331;1.621488;FFKDA;;;;;;;;
KDS Enac;Shotokaï ;Toulouse;7 Avenue Édouard Belin, 31400 Toulouse;;;;https://kdstoulouse.com/infos-pratiques/les-entrainements/;43.565860748291016;1.4770827293395996;KDS France, FFK;;;;;;;;
KDS Gourdon;Shotokaï ;Gourdon;Route des Vitarelles, 46300 Gourdon;06 01 05 13 50;bureau@kdsgourdon.fr;Giles Murray 4ème dan, François Cazès 1er dan;https://kds-gourdon.fr/notre-club-kds-gourdon;44.7328122;1.3510915;KDS France, FFK;;;;;;;;
KDS Saint-Jean;Shotokaï ;Saint-Jean;Dojo Clair Matin, 4 Rue Arthur Rimbaud, 31240 Saint-Jean;;kdstoulouse@gmail.com;;https://kdstoulouse.com/infos-pratiques/les-entrainements/;43.665428161621094;1.502410650253296;KDS France, FFK;;;;;;;;
KDS Toulouse;Shotokaï ;Toulouse;28 Rue Jeanne Marvig, 31400 Toulouse;;kdstoulouse@gmail.com;;https://kdstoulouse.com/infos-pratiques/les-entrainements/;43.578853607177734;1.462661862373352;KDS France, FFK;;;;;;;;
Les Essarts le Roi AGSE Karaté-do Shotokaï;Shotokaï ;Les Essarts le Roi;Complexe Culturel et Sportif, 2 Rue du Bois des Dames, Plateau de Mauregard, 78690 Les Essarts Le Roi;06 35 02 32 02;agse.karate@free.fr;Stephane Raimboux;http://agse.karate.free.fr;48.7253025;1.8996132;KDSE;;;;;;;;
Maks Paris;Shotokaï ;Paris;Centre sportif des Amandiers, 8 rue Louis Delgres, 75020 Paris;06 70 16 75 74;karate@maksparis.com;Patrick 5ème dan, Andoche 5ème dan;https://maksparis.com;48.865631103515625;2.3862595558166504;IKDS;;;;;;;;
Oï Kaze Kan;Shotokaï ;Valence;Dojo du Gymnase Brunet/Zammit, 3 rue du Refuge, 26000 Valence;06 89 86 57 93;contact@oikazekan.fr;Natacha Palasz;http://www.oikazekan.com;44.92811965942383;4.894493103027344;KKDA;;;;;;;;
Paris Dojo Mercoeur;Shotokaï ;Paris;Centre Paris Anim' Mercoeur, 5 cité Souzy, 75111 Paris;06 08 68 21 71;bert.kdse@orange.fr;Patrick Herbert;https://www.paris.fr/activites/karate-112;48.85174560546875;2.3888134956359863;KDSE;;;;;;;;
Toulouse Deyme Karate-do;Shotokaï ;Toulouse;Place de la Mairie, 31450 Deyme;06 85 66 31 84;taxi.phil31@gmail.com;Philippe Courchia;https://www.fekamt.com/club/deyme-karate-do/;43.4812934;1.5253439;FEKAMT;;;;;;;;
Toulouse Ondes Karaté-do;Shotokaï ;Ondes;"Impasse du 19 mars 1962,
31 330 Ondes";06 83 91 01 73;;Gilbert Bousquet 2ème dan;https://www.ondeskaratedo.fr;43.7814702;1.3096147;FFKDA;;;;;;;;
Toulouse Shotokaï Ryu ETAM;Shotokaï ;Toulouse;École Toulousaine d'Arts Martiaux, 45 rue des Fontaines, 31 300 Toulouse;05 61 42 99 36;contact@shotokai-toulouse.fr;Georges Landa 5ème dan;https://www.facebook.com/ShotokaiRyu.Toulouse;43.6003224;1.4249965;FEKAMT;;;;;;;;
Toulouse Shotokaï Vigoulet;Shotokaï ;Vigoulet;Centre culturel, rue principale, 31320 Vigoulet;05 61 92 98 92;dlegoff@free.fr;Denis Le Goff;http://karate.toulouse.free.fr/karate.htm;43.5237;1.44230;KDSE;;;;;;;;
Toulouse Université Club ( TUC ) Karaté;Shotokaï ;;Université Toulouse-Jean Jaurès, 5 allée Antonio Machado, 31 000 Toulouse;06 87 15 66 57;;Jésus Aguila 5ème dan, Marie-Pierre Chanfreau-Aguila, Marc Montamat, Patrick Do;https://toulousekarate.clubeo.com;43.5783751;1.4010003;FFK;;;;;;;;
Arts martiaux du 4ème;Shotokaï ;Lyon Croix-Rousse;Dojo 8 rue Ruplinger, 69 0004 Lyon;07 71 70 70 72;contact.am4@gmail.com;Bernard Freselle 2ème dan;https://www.am4lyon.club;45.7809251;4.8378175;FFKDA;;;;;;;;
Club de Karaté de La Rochette;Shotokaï ;La Rochette;Gymnase René Tabouret, Impasse des Pincevents, 77 000 La Rochette;01 60 68 29 39;http://www.club-karate.fr;Daniel Rasse;http://www.club-karate.fr/horaires.php;48.51741027832031;2.6569161415100098;;;;;;;;;
Karaté Do Shotokaï Shinkuban Allaire;Shotokaï ;Allaire;Salle omnisports, rue Saint-Hilaire, 56 350 Allaire ;06 46 11 58 45;info.ecolekarate@gmail.com;Emmanuel Caboulet, Patrick Bonnefoy 5ème dan;https://www.facebook.com/KarateShotokaiAllaire;47.63304901123047;-2.164233446121216;FIAMT;;;;;;;;
Karaté do Pleucadeuc;Shotokaï ;Pleucadeuc;Avenue des Sports, 56140 Pleucadeuc;02 97 49 98 81;bonnefoy.p@wanadoo.fr;Patrick Bonnefoy 5ème dan;;47.75879669189453;-2.370556116104126;FIAMT;;;;;;;;
Karaté do Shotokaï Montagnat;Shotokaï ;Montagnat;Dojo de Montagnat, Chemin de la Craz, 01 250 Montagnat;06 84 68 55 91;shotomontagnat@gmail.com;Donatien Rakoto 4ème dan, Pascal Fumonde 3ème dan;https://www.facebook.com/profile.php?id=100068091121772&locale=fr_FR;46.168304443359375;5.28756856918335;FFK;;;;;;;;
Karaté do Shotokaï Marseille;Shotokaï ;Marseille;268 Avenue de la Capelette, 13 010 Marseille;06 29 58 52 75;shotokai.marseille@free.fr;Alain Hagopian 6ème dan;https://www.facebook.com/KarateDoShotokaiMarseille?locale=fr_FR;43.28056335449219;5.407877445220947;FEKAMT;;;;;;;;
Karaté club Crémolan;Shotokaï ;Crémieu;Gymnase du collège Lamartine, 5 rue des Martyrs de la Résistance, 38 460 Crémieu;06 24 97 26 28;noel.tavardon@wanadoo.fr;Noël Tavardon;https://www.fekamt.com/club/karate-club-cremolan/;45.74786376953125;5.155179977416992;FEKAMT;;;;;;;;
KDS Reims;Shotokaï ;Reims;Halle de Sport, Complexe Géo André, Avenue François Mauriac, 51 100 Reims;06 62 11 58 58;https://reims.kds-france.fr/;Gladys Mathieu 5ème dan, Bernard Mathieu 5ème dan;http://www.kds-france.com/?i=1;49.239042;3.9964427;FFKDA;;;;;;;;
Embukai Karaté club Esvres;Shotokaï ;Esvres;Dojo de Esvres, 37 320 Esvres;06 50 71 82 07;arnault.durez@gmail.com;Arnault Durez 2ème dan;https://www.facebook.com/profile.php?id=100068562255254;47.2845819;0.7861713;FFK;;;;;;;;
US Chambray Karaté;Non défini;Chambray;GymnaseDanguillaume, 10 rue Rolland Pilain, 37 170 Chambray les Tours;06 70 82 87 63, 06 62 29 20 18;contact@karatechambray.fr;Gildas Duval 6ème dan, Erwan Soulabaille 3ème dan, François Fouillaron 3ème dan, Nadia Cuinet 2ème dan;https://www.karatechambray.fr;47.339918;0.705933;École Sei Do Jyuku;;;;;;;;
Zanshin Karaté do Shotokaï Ceyreste;Shotokaï ;Ceyreste;Salle Polyvalente, Chemin des Peupliers, 13 600 Ceyreste;04 42 71 83 64;mailto:zanshin.ceyreste@free.fr;Jean-Pierre Lavabre 2ème dan;http://zanshin.ceyreste.free.fr/nouveau/nouvelle_page_1.htm;43.2099389;5.6266543;FFK;;;;;;;;
Karaté Shotokaï Bellevillois;Shotokaï ;Belleville-en-Beaujolais;Espace Catinot, Rue du Beaujolais, 69 220 Belleville-en-Beaujolais;06 31 84 76 38;;Alain Mitrani 6ème dan;https://www.leprogres.fr/rhone-69-edition-villefranche-et-beaujolais/2018/03/28/des-jeunes-prometteurs-au-club-du-karate-shotokai-bellevillois;46.10779571533203;4.747838973999023;KDSE;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;48.6799241;6.1628176
;;;;;;;;;;;;;;;;;50.16242980957031;3.258190870285034
;;;;;;;;;;;;;;;;;44.92904400;4.88345000
;;;;;;;;;;;;;;;;;48.865631103515625;2.3862595558166504
;;;;;;;;;;;;;;;;;48.8682746887207;2.401472330093384
;;;;;;;;;;;;;;;;;47.1261901;-0.5477441
;;;;;;;;;;;;;;;;;48.85174560546875;2.3888134956359863
;;;;;;;;;;;;;;;;;48.84117126464844;2.2401394844055176
;;;;;;;;;;;;;;;;;47.4786411;-0.5567862
;;;;;;;;;;;;;;;;;48.42043685913086;1.4921621084213257
;;;;;;;;;;;;;;;;;45.781192779541016;4.83757209777832
;;;;;;;;;;;;;;;;;45.7755367;4.8040516
;;;;;;;;;;;;;;;;;43.5237;1.44230
;;;;;;;;;;;;;;;;;43.7814702;1.3096147
;;;;;;;;;;;;;;;;;43.6003224;1.4249965
;;;;;;;;;;;;;;;;;43.4812934;1.5253439
;;;;;;;;;;;;;;;;;48.4664178;1.4962035
;;;;;;;;;;;;;;;;;48.7253025;1.8996132
;;;;;;;;;;;;;;;;;47.5420055;1.2350098
;;;;;;;;;;;;;;;;;48.817328;2.525171
;;;;;;;;;;;;;;;;;44.5477416;-0.2523481
;;;;;;;;;;;;;;;;;50.6347643;3.1907001
;;;;;;;;;;;;;;;;;48.6329263;6.3016817
;;;;;;;;;;;;;;;;;46.2440036;1.4810722
;;;;;;;;;;;;;;;;;48.8305265;2.2422467
